equipment_type,area,dept,equip_num,acct_code,grouping1,maintenance_operation1,frequency1,grouping2,maintenance_operation2,frequency2,grouping3,maintenance_operation3,frequency3,grouping4,maintenance_operation4,frequency4,grouping5,maintenance_operation5,frequency5,grouping6,maintenance_operation6,frequency6
CY - Cyclone,Raw Mill,Mechanical,CY-310,70220,14,Monthly Inspection,1M,,,,,,,,,,,,,,,
CY - Cyclone,Raw Mill,Mechanical,CY-311,70220,14,Monthly Inspection,1M,,,,,,,,,,,,,,,
CY - Cyclone,Raw Mill,Mechanical,CY-311,70220,14,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Raw Mill,Mechanical,DA-310A,70220,15,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Raw Mill,Mechanical,DA-311A,70220,15,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Raw Mill,Mechanical,DA-312,70220,15,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Raw Mill,Mechanical,DA-321,70220,15,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Raw Mill,Mechanical,DC-310,70220,16,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Raw Mill,Mechanical,DC-311,70220,16,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Raw Mill,Mechanical,DC-312A,70220,16,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Raw Mill,Mechanical,DC-314,70220,16,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Raw Mill,Mechanical,DC-320A,70220,16,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Raw Mill,Mechanical,DC-321,70220,16,Monthly Inspection,1M,,,,,,,,,,,,,,,
FN - Fan,Raw Mill,Mechanical,F-310,70220,17,Monthly Inspection,1M,,,,,,,,,,17,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Raw Mill,Mechanical,F-311,70220,17,Monthly Inspection,1M,,,,,,,,,,17,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Raw Mill,Mechanical,F-313,70220,17,Monthly Inspection,1M,,,,,,,,,,17,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Raw Mill,Mechanical,F-314,70220,17,Monthly Inspection,1M,,,,,,,,,,17,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Raw Mill,Mechanical,F-316 ,70220,17,Monthly Inspection,1M,,,,,,,,,,17,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Raw Mill,Mechanical,F-317 ,70220,17,Monthly Inspection,1M,,,,,,,,,,17,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Raw Mill,Mechanical,F-319,70220,17,Monthly Inspection,1M,,,,,,,,,,17,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Raw Mill,Mechanical,F-320,70220,17,Monthly Inspection,1M,,,,,,,,,,17,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Raw Mill,Mechanical,F-321,70220,17,Monthly Inspection,1M,,,,,,,,,,17,Monthly Ultrasound-assisted Lubrication,1M,,,
FN - Fan,Raw Mill,Mechanical,F-322,70220,17,Monthly Inspection,1M,,,,,,,,,,17,Monthly Ultrasound-assisted Lubrication,1M,,,
FG - Flop/Flow Gate,Raw Mill,Mechanical,FG-310A,70220,18,Monthly Inspection,1M,,,,,,,,,,17,Monthly Ultrasound-assisted Lubrication,1M,,,
FG - Flop/Flow Gate,Raw Mill,Mechanical,FG-310B,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
FG - Flop/Flow Gate,Raw Mill,Mechanical,FG-311A,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
FG - Flop/Flow Gate,Raw Mill,Mechanical,FG-311B,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
FG - Flop/Flow Gate,Raw Mill,Mechanical,FG-314,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
FV - Flow Valve,Raw Mill,Mechanical,FV-310,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
FV - Flow Valve,Raw Mill,Mechanical,FV-310,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
FV - Flow Valve,Raw Mill,Mechanical,FV-310A,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
FV - Flow Valve,Raw Mill,Mechanical,FV-310B,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
FV - Flow Valve,Raw Mill,Mechanical,FV-311,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
FV - Flow Valve,Raw Mill,Mechanical,FV-311,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
FV - Flow Valve,Raw Mill,Mechanical,FV-311A,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
FV - Flow Valve,Raw Mill,Mechanical,FV-311B,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
FV - Flow Valve,Raw Mill,Mechanical,FV-319A,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
FV - Flow Valve,Raw Mill,Mechanical,FV-319B,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
HP - Hopper,Raw Mill,Mechanical,HP-305,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
HP - Hopper,Raw Mill,Mechanical,HP-306,70220,18,Monthly Inspection,1M,,,,,,,,,,,,,,,
ID - Induction Fan,Raw Mill,Mechanical,ID-310A,70220,19,Monthly Inspection,1M,,,,19,Semi-Annual Oil Analysis,6M,,,,,,,,,
ID - Induction Fan,Raw Mill,Mechanical,ID-320A,70220,20,Monthly Inspection,1M,,,,20,Semi-Annual Oil Analysis,6M,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-312 ,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-313,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-314,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-315A,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-316 ,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-317 ,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-318,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-319 ,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-320,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-321 ,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-322 ,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-323 ,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-324,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-325 ,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-326,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-336,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-337 ,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
P - Pump H20/Grease/Slurry,Raw Mill,Mechanical,P-338 ,70220,21,Monthly Inspection,1M,,,,,,,,,,,,,,,
RM - Rawmill,Raw Mill,Mechanical,RM-310A,70220,22,Monthly Inspection,1M,,,,,,,,,,,,,,,
SA - Sampler,Raw Mill,Mechanical,SA-310A,70220,23,Monthly Inspection,1M,,,,,,,,,,,,,,,
SA - Sampler,Raw Mill,Mechanical,SA-311,70220,23,Monthly Inspection,1M,,,,,,,,,,,,,,,
SA - Sampler,Raw Mill,Mechanical,SA-311A,70220,23,Monthly Inspection,1M,,,,,,,,,,,,,,,
SA - Sampler,Raw Mill,Mechanical,SA-312,70220,23,Monthly Inspection,1M,,,,,,,,,,,,,,,
SA - Sampler,Raw Mill,Mechanical,SA-313,70220,23,Monthly Inspection,1M,,,,,,,,,,,,,,,
SA - Sampler,Raw Mill,Mechanical,SA-320,70220,23,Monthly Inspection,1M,,,,,,,,,,,,,,,
SC - Screw Conveyor,Raw Mill,Mechanical,SC-310A ,70220,24,Monthly Inspection,1M,24,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Raw Mill,Mechanical,SC-310B ,70220,24,Monthly Inspection,1M,24,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Raw Mill,Mechanical,SC-311,70220,24,Monthly Inspection,1M,24,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Raw Mill,Mechanical,SC-320C,70220,24,Monthly Inspection,1M,24,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Raw Mill,Mechanical,SC-320D,70220,24,Monthly Inspection,1M,24,Monthly Lubrication,1M,,,,,,,,,,,,
SC - Screw Conveyor,Raw Mill,Mechanical,SC-321B,70220,24,Monthly Inspection,1M,24,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Raw Mill,Mechanical,SF-314 ,70220,25,Monthly Inspection,1M,25,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Raw Mill,Mechanical,SF-320,70220,25,Monthly Inspection,1M,25,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Raw Mill,Mechanical,SF-321,70220,25,Monthly Inspection,1M,25,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Raw Mill,Mechanical,SF-322 ,70220,25,Monthly Inspection,1M,25,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Raw Mill,Mechanical,SF-323,70220,25,Monthly Inspection,1M,25,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Raw Mill,Mechanical,SF-324,70220,25,Monthly Inspection,1M,25,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Raw Mill,Mechanical,SF-325,70220,25,Monthly Inspection,1M,25,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Raw Mill,Mechanical,SF-326,70220,25,Monthly Inspection,1M,25,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Raw Mill,Mechanical,SF-327,70220,25,Monthly Inspection,1M,25,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Raw Mill,Mechanical,SF-328,70220,25,Monthly Inspection,1M,25,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Raw Mill,Mechanical,SF-329,70220,25,Monthly Inspection,1M,25,Monthly Lubrication,1M,,,,,,,,,,,,
SF - Star/Screw Feeder,Raw Mill,Mechanical,SF-330,70220,25,Monthly Inspection,1M,25,Monthly Lubrication,1M,,,,,,,,,,,,
SG - Slide Gate,Raw Mill,Mechanical,SG-310,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
SG - Slide Gate,Raw Mill,Mechanical,SG-311,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
SG - Slide Gate,Raw Mill,Mechanical,SG-312,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
SG - Slide Gate,Raw Mill,Mechanical,SG-320,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
SG - Slide Gate,Raw Mill,Mechanical,SG-321,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
SV - Single Tip Valve,Raw Mill,Mechanical,STV-314A,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
SV - Single Tip Valve,Raw Mill,Mechanical,STV-314B,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
SE - SK Valve,Raw Mill,Mechanical,VA-310A,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
SE - SK Valve,Raw Mill,Mechanical,VA-311A,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
SE - SK Valve,Raw Mill,Mechanical,VA-312A,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
SE - SK Valve,Raw Mill,Mechanical,VA-313A,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
SE - SK Valve,Raw Mill,Mechanical,VA-314A,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
FW - 4 Way Valve,Raw Mill,Mechanical,VA-316,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
FW - 4 Way Valve,Raw Mill,Mechanical,VA-317,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
FW - 4 Way Valve,Raw Mill,Mechanical,VA-318,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
FW - 4 Way Valve,Raw Mill,Mechanical,VA-319,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
SE - SK Valve,Raw Mill,Mechanical,VA-324,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
SE - SK Valve,Raw Mill,Mechanical,VA-325,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
VF - Vibrat Bn Bot,Raw Mill,Mechanical,VF-305,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
VF - Vibrat Bn Bot,Raw Mill,Mechanical,VF-306,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
VF - Vibrat Bn Bot,Raw Mill,Mechanical,VF-307,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
VF - Vibrat Bn Bot,Raw Mill,Mechanical,VF-308,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
VG - Valve Gravity,Raw Mill,Mechanical,VG-310,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
VG - Valve Gravity,Raw Mill,Mechanical,VG-311,70220,26,Monthly Inspection,1M,,,,,,,,,,,,,,,
WF - Weigh Feeder,Raw Mill,Mechanical,WF-305,70220,27,Monthly Inspection,1M,27,Monthly Lubrication,1M,,,,,,,,,,,,
WF - Weigh Feeder,Raw Mill,Mechanical,WF-306 ,70220,27,Monthly Inspection,1M,27,Monthly Lubrication,1M,,,,,,,,,,,,
WF - Weigh Feeder,Raw Mill,Mechanical,WF-307,70220,27,Monthly Inspection,1M,27,Monthly Lubrication,1M,,,,,,,,,,,,
WF - Weigh Feeder,Raw Mill,Mechanical,WF-308,70220,27,Monthly Inspection,1M,27,Monthly Lubrication,1M,,,,,,,,,,,,
WS - Weigh Scale,Raw Mill,Mechanical,WS-310B,70220,27,Monthly Inspection,1M,27,Monthly Lubrication,1M,,,,,,,,,,,,
WS - Weigh Scale,Raw Mill,Mechanical,WS-311B,70220,27,Monthly Inspection,1M,27,Monthly Lubrication,1M,,,,,,,,,,,,
AC - Airslide,Kiln,Mechanical,AC-300,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-330-1,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-330-10,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-330-11,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-330-2,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-330-29,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-330-3,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-330-4,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-330-5,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-330-6,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-330-7,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-330-8,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-330-9,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-360-1 ,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-360-10,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-360-2,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-360-3,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-360-4,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-360-5,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-360-6 ,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-360-7,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-360-8,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BB - Bin Blaster,Kiln,Mechanical,BB-360-9,70320,28,Monthly Inspection,1M,,,,,,,,,,,,,,,
BC - Bc Filter,Kiln,Mechanical,BC-301,70320,29,Monthly Inspection,1M,,,,,,,,,,,,,,,
BC - Bc Filter,Kiln,Mechanical,BC-302,70320,29,Monthly Inspection,1M,,,,,,,,,,,,,,,
BC - Bc Filter,Kiln,Mechanical,BC-303,70320,29,Monthly Inspection,1M,,,,,,,,,,,,,,,
BC - Bc Filter,Kiln,Mechanical,BC-304,70320,29,Monthly Inspection,1M,,,,,,,,,,,,,,,
BE - Bucket Elevator,Kiln,Mechanical,BE-350,70320,30,Monthly Inspection,1M,30,Monthly Lubrication,1M,,,,,,,,,,30,Quarterly Wear Measurement,3M
BE - Bucket Elevator,Kiln,Mechanical,BE-815A,70320,30,Monthly Inspection,1M,30,Monthly Lubrication,1M,,,,,,,,,,30,Quarterly Wear Measurement,3M
BE - Bucket Elevator,Kiln,Mechanical,BE-815B,70320,30,Monthly Inspection,1M,30,Monthly Lubrication,1M,,,,,,,,,,30,Quarterly Wear Measurement,3M
BL - Building,Kiln,Mechanical,BL-310,70320,31,Monthly Inspection,1M,,,,,,,,,,,,,,,
BL - Building,Kiln,Mechanical,BL-330,70320,31,Monthly Inspection,1M,,,,,,,,,,,,,,,
BL - Building,Kiln,Mechanical,BL-391,70320,31,Monthly Inspection,1M,,,,,,,,,,,,,,,
BN - Bin,Kiln,Mechanical,BN-300,70320,32,Monthly Inspection,1M,,,,,,,,,,,,,,,
BN - Bin,Kiln,Mechanical,BN-350,70320,32,Monthly Inspection,1M,,,,,,,,,,,,,,,
C - Conveyor,Kiln,Mechanical,C-810,70320,33,Monthly Inspection,1M,33,Monthly Lubrication,1M,,,,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-300,70320,34,Monthly Inspection,1M,,,,34,Semi-Annual Oil Analysis,6M,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-301,70320,34,Monthly Inspection,1M,,,,34,Semi-Annual Oil Analysis,6M,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-302,70320,34,Monthly Inspection,1M,,,,34,Semi-Annual Oil Analysis,6M,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-303,70320,34,Monthly Inspection,1M,,,,34,Semi-Annual Oil Analysis,6M,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-304,70320,34,Monthly Inspection,1M,,,,34,Semi-Annual Oil Analysis,6M,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-305 (Future),70320,34,Monthly Inspection,1M,,,,34,Semi-Annual Oil Analysis,6M,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-307 ,70320,35,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-323,70320,35,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-324,70320,35,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-327,70320,35,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-330,70320,35,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-331,70320,35,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-333,70320,35,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-350A,70320,35,Monthly Inspection,1M,,,,,,,,,,,,,,,
CA - Compressor,Kiln,Mechanical,CA-354,70320,35,Monthly Inspection,1M,,,,,,,,,,,,,,,
CS - Clinker Silos,Kiln,Mechanical,CLKSILO-930,70320,36,Monthly Inspection,1M,,,,,,,,,,,,,,,
CS - Clinker Silos,Kiln,Mechanical,CLKSILO-931,70320,36,Monthly Inspection,1M,,,,,,,,,,,,,,,
CS - Clinker Silos,Kiln,Mechanical,CLKSILO-932,70320,36,Monthly Inspection,1M,,,,,,,,,,,,,,,
D - Drag Conveyor,Kiln,Mechanical,D-360C,70320,37,Monthly Inspection,1M,37,Monthly Lubrication,1M,,,,,,,,,,,,
D - Drag Conveyor,Kiln,Mechanical,D-360C,70320,37,Monthly Inspection,1M,37,Monthly Lubrication,1M,,,,,,,,,,,,
D - Drag Conveyor,Kiln,Mechanical,D-920,70320,37,Monthly Inspection,1M,37,Monthly Lubrication,1M,,,,,,,,,,,,
D - Drag Conveyor,Kiln,Mechanical,D-920,70320,37,Monthly Inspection,1M,37,Monthly Lubrication,1M,,,,,,,,,,,,
D - Drag Conveyor,Kiln,Mechanical,D-921,70320,37,Monthly Inspection,1M,37,Monthly Lubrication,1M,,,,,,,,,,,,
D - Drag Conveyor,Kiln,Mechanical,D-921,70320,37,Monthly Inspection,1M,37,Monthly Lubrication,1M,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-330,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-332A,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-333,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-334,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-335,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-336,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-337,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-338,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-339,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-340,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-350A,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-351A,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-352A,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-360B,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-361B,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-363A,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-364A,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-365A,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-366,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-391A,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-391B,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DA - Damper,Kiln,Mechanical,DA-394,70320,38,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Kiln,Mechanical,DC-300,70320,39,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Kiln,Mechanical,DC-350,70320,39,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Kiln,Mechanical,DC-351A,70320,39,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Kiln,Mechanical,DC-360,70320,39,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Kiln,Mechanical,DC-361,70320,39,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Kiln,Mechanical,DC-803,70320,39,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Kiln,Mechanical,DC-810,70320,39,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Kiln,Mechanical,DC-810,70320,39,Monthly Inspection,1M,,,,,,,,,,,,,,,
DC - Dust Collector,Kiln,Mechanical,DC-930,70320,39,Monthly Inspection,1M,,,,,,,,,,,,,,,
DR - Dryer,Kiln,Mechanical,DR-300,70320,40,Monthly Inspection,1M,,,,,,,,,,,,,,,
DT - Duct,Kiln,Mechanical,DT-360,70320,41,Monthly Inspection,1M,,,,,,,,,,,,,,,
DT - Duct,Kiln,Mechanical,DT-360A,70320,41,Monthly Inspection,1M,,,,,,,,,,,,,,,
DV - Double Tip Valve,Kiln,Mechanical,DTV-331,70320,42,Monthly Inspection,1M,,,,,,,,,,,,,,,
DV - Double Tip Valve,Kiln,Mechanical,DTV-332,70320,42,Monthly Inspection,1M,,,,,,,,,,,,,,,
DV - Double Tip Valve,Kiln,Mechanical,DTV-333,70320,42,Monthly Inspection,1M,,,,,,,,,,,,,,,
DV - Double Tip Valve,Kiln,Mechanical,DTV-334,70320,42,Monthly Inspection,1M,,,,,,,,,,,,,,,
DV - Double Tip Valve,Kiln,Mechanical,DTV-334A,70320,42,Monthly Inspection,1M,,,,,,,,,,,,,,,
DV - Double Tip Valve,Kiln,Mechanical,DTV-335A,70320,42,Monthly Inspection,1M,,,,,,,,,,,,,,,
DG - Diverter Gate,Kiln,Mechanical,DVG-314,70320,43,Monthly Inspection,1M,,,,,,,,,,,,,,,
